VESSEL,STATION,YEAR,TRIP,NOSKT,AREA,TOT
VNI,4049,2010,4,8,395901,0
VNI,4048,2010,4,8,395901,0
VNI,4047,2010,4,8,395901,2
VNI,4046,2010,4,8,395901,0
VNI,4045,2010,4,8,395901,0
VNI,4044,2010,4,8,385901,0
VNI,4043,2010,4,8,385901,0
VNI,4042,2010,6,8,405830,5
VNI,4041,2010,6,8,395830,0
VNI,4040,2010,6,8,395830,7
VNI,4039,2010,5,8,395830,0
VNI,4038,2010,5,8,385831,0
VNI,4037,2010,4,8,385831,4
VNI,4036,2010,4,8,385831,38
VNI,4035,2010,6,8,405830,0
VNI,4034,2010,6,8,395830,0
VNI,4033,2010,6,8,395830,0
VNI,4032,2010,5,8,395830,14
VNI,4031,2010,6,8,385831,14
VNI,4030,2010,5,8,385831,0
VNI,4029,2010,4,8,385831,22
VNI,4028,2010,6,8,395830,0
VNI,4027,2010,6,8,395830,75
VNI,4026,2010,6,8,395830,17
VNI,4025,2010,6,8,385831,13
VNI,4024,2010,5,8,385831,30
VNI,4023,2010,4,8,385831,0
VNI,4022,2010,4,8,375831,0
VNI,4021,2010,4,8,375832,0
VNI,4020,2010,6,8,395800,0
VNI,4019,2010,6,8,395800,224
VNI,4018,2010,6,8,385800,98
VNI,4017,2010,5,8,385800,0
VNI,4016,2010,5,8,385800,0
VNI,4015,2010,5,8,375801,0
VNI,4014,2010,4,8,375801,0
VNI,4013,2010,4,8,375801,0
VNI,4012,2010,6,8,385800,6
VNI,4011,2010,6,8,385800,23
VNI,4010,2010,5,8,385800,0
VNI,4009,2010,5,8,375801,0
VNI,4008,2010,5,8,375801,0
VNI,4007,2010,4,8,375801,6
VNI,4006,2010,4,8,365801,0
VNI,4005,2010,5,8,375801,6
VNI,4004,2010,5,8,375801,33
VNI,4003,2010,5,8,375801,5
VNI,4002,2010,4,8,365801,0
VNI,4001,2010,5,8,375730,0
BDP,3124,2010,2,8,355830,0
BDP,3123,2010,2,8,345803,0
BDP,3122,2010,2,8,345803,0
BDP,3121,2010,1,8,345801,0
BDP,3120,2010,2,5,365804,0
BDP,3119,2010,2,8,355801,0
BDP,3118,2010,1,8,345801,0
BDP,3117,2010,1,8,345801,0
BDP,3116,2010,2,5,365804,1
BDP,3115,2010,2,8,355801,0
BDP,3114,2010,2,8,345803,0
BDP,3113,2010,2,8,365801,22
BDP,3112,2010,1,8,345801,0
BDP,3111,2010,8,8,365731,0
BDP,3110,2010,8,8,365734,25
BDP,3109,2010,1,8,335732,0
BDP,3108,2010,8,8,365731,22
BDP,3107,2010,1,8,335732,0
BDP,3106,2010,8,8,365731,11
BDP,3105,2010,1,8,345731,0
BDP,3104,2010,1,8,335731,0
BDP,3103,2010,8,8,365701,43
BDP,3102,2010,8,8,355703,10
BDP,3101,2010,1,8,345701,1
BDP,3100,2010,1,8,335701,0
BDP,3099,2010,1,8,335703,0
BDP,3098,2010,8,8,365701,3
BDP,3097,2010,8,8,355702,25
BDP,3096,2010,1,8,345701,0
BDP,3095,2010,1,8,345702,0
BDP,3094,2010,1,8,335701,0
BDP,3093,2010,1,8,335701,0
BDP,3092,2010,8,8,365701,85
BDP,3091,2010,1,8,345702,0
BDP,3090,2010,1,8,325631,0
BDP,3089,2010,8,8,355631,8
BDP,3088,2010,1,8,325631,0
BDP,3087,2010,8,8,355631,3
BDP,3086,2010,8,8,355631,43
BDP,3085,2010,8,8,355633,10
BDP,3084,2010,8,8,355631,109
BDP,3083,2010,8,8,355631,18
PEN,3082,2010,3,8,345631,4
PEN,3081,2010,2,8,335601,0
PEN,3080,2010,2,8,355601,0
PEN,3079,2010,2,8,355601,30
PEN,3078,2010,3,8,355602,32
PEN,3077,2010,3,8,345603,22
PEN,3076,2010,2,8,335601,1
PEN,3075,2010,2,8,355601,0
PEN,3074,2010,3,8,345607,3
PEN,3073,2010,3,8,345603,7
PEN,3072,2010,3,8,345603,15
PEN,3071,2010,2,8,335601,0
PEN,3070,2010,3,8,355601,0
PEN,3069,2010,3,8,345607,0
PEN,3068,2010,2,8,345603,0
PEN,3067,2010,2,8,345603,48
PEN,3066,2010,2,8,345604,0
PEN,3065,2010,2,8,335534,25
PEN,3064,2010,3,8,355530,6
PEN,3063,2010,3,8,345537,0
PEN,3062,2010,3,8,345533,34
PEN,3061,2010,4,8,345535,3
PEN,3060,2010,2,8,335533,58
PEN,3059,2010,2,8,335534,31
PEN,3058,2010,3,8,345537,41
PEN,3057,2010,3,8,345537,0
PEN,3056,2010,4,8,345536,0
PEN,3055,2010,4,8,345536,10
PEN,3054,2010,3,8,345537,0
PEN,3053,2010,3,8,345537,0
PEN,3052,2010,3,8,345537,0
PEN,3051,2010,4,8,345536,23
PEN,3050,2010,3,8,345500,19
PEN,3049,2010,3,8,345500,40
PEN,3048,2010,4,8,345500,0
PEN,3047,2010,4,8,335505,7
PEN,3046,2010,4,8,345500,3
PEN,3045,2010,4,8,335501,0
PEN,3044,2010,4,8,345500,4
PEN,3043,2010,4,8,345500,69
PEN,3042,2010,5,8,325602,6
PEN,3041,2010,5,8,325602,0
PEN,3040,2010,5,8,325602,4
PEN,3039,2010,5,8,325532,10
PEN,3038,2010,5,8,325531,7
PEN,3037,2010,5,8,325531,0
PEN,3036,2010,5,8,315502,5
PEN,3035,2010,5,8,315502,0
PEN,3034,2010,4,8,335504,75
PEN,3033,2010,5,8,315502,3
PEN,3032,2010,5,8,315502,20
PEN,3031,2010,5,6.199999809,315501,15
PEN,3030,2010,4,8,335501,0
PEN,3029,2010,4,8,335502,56
PEN,3028,2010,5,8,315502,0
PEN,3027,2010,5,8,315501,0
PEN,3026,2010,4,8,345430,12
PEN,3025,2010,4,8,335431,28
PEN,3024,2010,1,8,335431,35
PEN,3023,2010,1,8,335431,11
PEN,3022,2010,1,3.599999905,325433,3
PEN,3021,2010,5,8,315432,0
PEN,3020,2010,5,8,315432,0
PEN,3019,2010,2,8,345430,0
PEN,3018,2010,2,8,335431,0
PEN,3017,2010,1,8,335431,0
PEN,3016,2010,1,8,335431,19
PEN,3015,2010,1,8,325432,11
PEN,3014,2010,1,8,325431,15
PEN,3013,2010,1,8,325431,19
PEN,3012,2010,1,8,315431,0
PEN,3011,2010,1,8,315431,0
PEN,3010,2010,5,8,315431,0
PEN,3009,2010,5,8,315432,2
PEN,3008,2010,5,8,305431,0
PEN,3007,2010,2,8,335431,0
PEN,3006,2010,1,8,335431,0
PEN,3005,2010,1,8,335431,92
PEN,3003,2010,1,8,325431,0
PEN,3002,2010,1,8,325431,0
PEN,3001,2010,1,8,325431,0
