VESSEL,STATION,YEAR,TRIP,NOSKT,AREA,TOT
STW,3013,2011,3,6,325431,8
STW,3014,2011,3,6,325431,7
STW,3015,2011,3,6,325432,27
STW,3031,2011,3,6,315501,7
STW,3032,2011,3,6,315502,7
STW,3036,2011,3,6,315502,4
STW,3038,2011,3,6,325531,9
STW,3039,2011,3,6,325532,11
STW,3042,2011,3,6,325602,2
STW,3005,2011,4,6,335431,72
STW,3016,2011,4,6,335431,10
STW,3023,2011,4,6,335431,13
STW,3025,2011,4,6,335431,40
STW,3026,2011,4,6,345430,6
STW,3028,2011,4,6,315502,7
STW,3029,2011,4,6,335502,18
STW,3030,2011,4,6,335501,2
STW,3034,2011,4,6,335504,24
PEN,3085,2011,2,6,355633,12
PEN,3086,2011,2,6,355631,32
PEN,3087,2011,2,6,355631,1
PEN,3092,2011,2,6,365701,34
PEN,3097,2011,2,6,355702,30
PEN,3098,2011,2,6,365701,1
PEN,3102,2011,2,6,355703,2
PEN,3103,2011,2,6,365701,12
PEN,3106,2011,2,6,365731,11
PEN,3108,2011,2,6,365731,8
PEN,3110,2011,2,6,365734,7
PEN,3113,2011,2,6,365801,13
PEN,3116,2011,2,6,365804,1
PEN,3120,2011,2,5.199999809,365804,1
PEN,3058,2011,3,6,345537,20
PEN,3074,2011,3,6,345607,1
PEN,3078,2011,3,6,355602,27
PEN,3079,2011,3,6,355601,17
PEN,3080,2011,3,6,355601,1
PEN,3083,2011,3,6,355631,15
PEN,3084,2011,3,6,355631,107
PEN,3062,2011,4,6,345533,28
PEN,3066,2011,4,6,345604,2
PEN,3067,2011,4,6,345603,34
PEN,3072,2011,4,6,345603,9
PEN,3076,2011,4,6,335601,9
PEN,3077,2011,4,6,345603,16
PEN,3082,2011,4,6,345631,5
PEN,3043,2011,5,6,345500,33
PEN,3046,2011,5,6,345500,4
PEN,3047,2011,5,6,335505,3
PEN,3049,2011,5,6,345500,56
PEN,3050,2011,5,6,345500,8
PEN,3051,2011,5,6,345536,12
PEN,3055,2011,5,6,345536,8
PEN,3059,2011,5,6,335534,12
PEN,3060,2011,5,6,335533,35
PEN,3061,2011,5,6,345535,4
PEN,3065,2011,5,6,335534,11
BDP,4007,2011,1,6,375801,3
BDP,4024,2011,1,6,385831,8
BDP,4029,2011,1,6,385831,15
BDP,4031,2011,1,6,385831,11
BDP,4040,2011,1,6,395830,1
BDP,4047,2011,1,6,395901,1
BDP,4035,2011,2,6,405830,1
BDP,4037,2011,2,6,385831,11
BDP,4003,2011,7,6,375801,1
BDP,4004,2011,7,6,375801,30
BDP,4005,2011,7,6,375801,2
BDP,4011,2011,7,5.599999905,385800,36
BDP,4012,2011,7,6,385800,29
BDP,4018,2011,7,6,385800,30
BDP,4019,2011,7,6,395800,81
BDP,4025,2011,7,6,385831,18
BDP,4026,2011,7,6,395830,14
BDP,4027,2011,7,6,395830,42
