VESSEL,STATION,YEAR,TRIP,NOSKT,AREA,TOT
PEN,3005,2009,5,7,335431,102
PEN,3012,2009,2,7,315431,2
PEN,3013,2009,2,7,325431,20
PEN,3014,2009,2,7,325431,3
PEN,3015,2009,2,7,325432,12
PEN,3016,2009,5,7,335431,7
PEN,3023,2009,2,7,335431,13
PEN,3024,2009,2,7,335431,27
PEN,3025,2009,5,7,335431,12
PEN,3026,2009,5,7,345430,1
PEN,3028,2009,1,7,315502,1
PEN,3029,2009,2,7,335502,35
PEN,3030,2009,5,7,335501,1
PEN,3031,2009,1,7,315501,9
PEN,3032,2009,1,7,315502,1
PEN,3034,2009,2,7,335504,53
PEN,3036,2009,1,7,315502,2
PEN,3038,2009,1,7,325531,1
PEN,3040,2009,1,7,325602,3
PEN,3042,2009,1,7,325602,1
PEN,3043,2009,5,7,345500,41
PEN,3044,2009,5,7,345500,1
PEN,3046,2009,4,7,345500,1
PEN,3047,2009,2,7,335505,8
PEN,3049,2009,4,7,345500,49
PEN,3050,2009,4,7,345500,5
PEN,3051,2009,4,7,345536,20
PEN,3055,2009,4,7,345536,14
PEN,3058,2009,5,7,345537,35
PEN,3059,2009,4,7,335534,19
PEN,3060,2009,4,7,335533,52
PEN,3061,2009,2,3.7,345535,2
PEN,3062,2009,3,7,345533,21
PEN,3064,2009,3,7,355530,1
PEN,3065,2009,4,7,335534,30
PEN,3066,2009,2,7,345604,2
PEN,3067,2009,2,7,345603,19
PEN,3071,2009,4,4.5,335601,7
PEN,3072,2009,3,7,345603,8
PEN,3076,2009,4,5.3000002,335601,7
PEN,3077,2009,3,7,345603,10
PEN,3078,2009,3,7,355602,38
PEN,3079,2009,3,7,355601,21
PEN,3080,2009,3,7,355601,2
PEN,3082,2009,3,7,345631,4
BDP,3083,2009,7,7,355631,16
BDP,3084,2009,7,7,355631,100
BDP,3085,2009,7,7,355633,8
BDP,3086,2009,7,7,355631,48
BDP,3087,2009,7,7,355631,1
BDP,3089,2009,7,7,355631,10
BDP,3092,2009,7,7,365701,62
BDP,3097,2009,7,7,355702,13
BDP,3098,2009,7,7,365701,2
BDP,3102,2009,7,7,355703,6
BDP,3103,2009,7,7,365701,6
BDP,3106,2009,7,7,365731,7
BDP,3108,2009,7,7,365731,8
BDP,3110,2009,7,7,365734,29
BDP,3113,2009,2,7,365801,12
VNI,4003,2009,3,7,375801,1
VNI,4004,2009,3,7,375801,42
VNI,4005,2009,3,7,375801,13
VNI,4007,2009,3,7,375801,11
VNI,4009,2009,3,7,375801,2
VNI,4010,2009,3,7,385800,1
VNI,4011,2009,3,6.8000002,385800,76
VNI,4012,2009,3,7,385800,75
VNI,4017,2009,2,7,385800,1
VNI,4018,2009,2,6.6999998,385800,63
VNI,4019,2009,2,7,395800,87
VNI,4025,2009,2,7,385831,22
VNI,4026,2009,2,7,395830,3
VNI,4027,2009,2,7,395830,18
VNI,4031,2009,2,7,385831,14
VNI,4032,2009,2,7,395830,3
VNI,4034,2009,1,7,395830,1
VNI,4035,2009,1,7,405830,1
VNI,4036,2009,1,7,385831,6
VNI,4037,2009,1,7,385831,5
VNI,4040,2009,1,7,395830,34
VNI,4042,2009,1,7,405830,2
VNI,4043,2009,1,7,385901,7
VNI,4047,2009,1,7,395901,7
