VESSEL,STATION,YEAR,TRIP,AREA,TOT,NOSKT
VNI,3005,2015,6,335431,51,7
LAP,3009,2015,3,315432,1,7
LAP,3012,2015,3,315431,2,7
VNI,3013,2015,6,325431,26,7
VNI,3014,2015,6,325431,30,7
VNI,3015,2015,6,325432,36,7
VNI,3016,2015,6,335431,49,7
LAP,3020,2015,3,315432,14,7
VNI,3022,2015,6,325433,7,7
VNI,3023,2015,6,335431,6,6.8
VNI,3024,2015,6,335431,1,7
VNI,3025,2015,6,335431,19,7
VNI,3026,2015,6,345430,3,7
LAP,3028,2015,3,315502,4,7
VNI,3029,2015,6,335502,46,7
VNI,3030,2015,6,335501,1,7
LAP,3031,2015,3,315501,27,7
LAP,3032,2015,3,315502,7,7
VNI,3034,2015,6,335504,34,7
LAP,3036,2015,3,315502,15,7
LAP,3038,2015,3,325531,4,7
LAP,3039,2015,3,325532,10,7
LAP,3040,2015,3,325602,2,7
LAP,3042,2015,3,325602,3,7
BDP,3043,2015,7,345500,64,7
BDP,3044,2015,7,345500,2,7
BDP,3046,2015,7,345500,8,7
BDP,3047,2015,7,335505,2,7
BDP,3049,2015,7,345500,64,7
BDP,3051,2015,7,345536,9,7
BDP,3052,2015,7,345537,2,7
BDP,3055,2015,7,345536,27,7
BDP,3058,2015,7,345537,53,7
BDP,3059,2015,8,335534,18,7
BDP,3060,2015,8,335533,36,7
BDP,3061,2015,8,345535,17,7
BDP,3062,2015,8,345533,18,7
BDP,3063,2015,8,345537,3,7
BDP,3064,2015,8,355530,9,7
BDP,3065,2015,8,335534,13,7
BDP,3067,2015,8,345603,15,7
BDP,3072,2015,6,345603,8,7
BDP,3073,2015,6,345603,3,7
BDP,3076,2015,8,335601,3,7
BDP,3077,2015,6,345603,6,7
BDP,3078,2015,6,355602,28,7
BDP,3079,2015,6,355601,14,7
BDP,3080,2015,6,355601,1,7
BDP,3082,2015,6,345631,4,7
BDP,3083,2015,6,355631,5,7
BDP,3084,2015,6,355631,45,7
BDP,3085,2015,6,355633,5,7
BDP,3086,2015,6,355631,43,7
BDP,3087,2015,6,355631,2,7
BDP,3089,2015,6,355631,8,7
BDP,3092,2015,5,365701,60,7
BDP,3097,2015,5,355702,21,7
BDP,3098,2015,5,365701,5,7
BDP,3101,2015,1,345701,1,7
BDP,3102,2015,5,355703,11,7
BDP,3103,2015,5,365701,21,6.6
BDP,3106,2015,5,365731,8,7
BDP,3108,2015,5,365731,10,7
BDP,3110,2015,5,365734,11,7
BDP,3111,2015,5,365731,1,7
BDP,3113,2015,5,365801,18,7
BDP,4004,2015,4,375801,11,7
BDP,4005,2015,4,375801,1,7
BDP,4007,2015,2,375801,1,7
BDP,4011,2015,2,385800,13,7
BDP,4012,2015,2,385800,26,7
BDP,4018,2015,4,385800,23,7
BDP,4019,2015,4,395800,47,7
BDP,4023,2015,3,385831,1,7
BDP,4024,2015,3,385831,17,7
BDP,4025,2015,4,385831,16,7
BDP,4026,2015,3,395830,3,7
BDP,4027,2015,4,395830,23,7
BDP,4029,2015,3,385831,5,7
BDP,4031,2015,3,385831,15,7
BDP,4032,2015,3,395830,1,7
BDP,4034,2015,3,395830,1,7
BDP,4036,2015,3,385831,1,7
BDP,4037,2015,3,385831,9,7
BDP,4040,2015,4,395830,6,7
BDP,4041,2015,3,395830,1,7
BDP,4042,2015,3,405830,1,7
,,,,,1322,
