VESSEL,STATION,YEAR,TRIP,AREA,TOT,NOSKT
PEN,3005,2014,5,335431,2,7
PEN,3009,2014,5,315432,1,7
PEN,3013,2014,5,325431,4,7
PEN,3015,2014,5,325432,23,7
PEN,3016,2014,6,335431,6,7
PEN,3017,2014,6,335431,1,7
PEN,3023,2014,6,335431,7,7
PEN,3024,2014,6,335431,30,7
PEN,3025,2014,6,335431,36,7
PEN,3026,2014,6,345430,18,7
PEN,3028,2014,6,315502,4,7
PEN,3029,2014,6,335502,76,7
PEN,3030,2014,6,335501,1,7
PEN,3031,2014,5,315501,16,7
PEN,3032,2014,6,315502,16,7
PEN,3034,2014,6,335504,51,7
PEN,3038,2014,6,325531,1,7
PEN,3039,2014,6,325532,9,7
PEN,3040,2014,6,325602,8,7
PEN,3042,2014,6,325602,2,7
BDP,3043,2014,6,345500,78,7
BDP,3044,2014,6,345500,3,7
BDP,3046,2014,6,345500,13,7
BDP,3047,2014,6,335505,1,7
BDP,3049,2014,6,345500,75,7
BDP,3050,2014,6,345500,18,7
BDP,3051,2014,6,345536,9,7
BDP,3052,2014,6,345537,1,7
BDP,3055,2014,6,345536,12,7
BDP,3058,2014,6,345537,42,7
BDP,3059,2014,7,335534,13,7
BDP,3060,2014,7,335533,30,7
BDP,3061,2014,7,345535,6,7
BDP,3062,2014,7,345533,24,7
BDP,3064,2014,5,355530,7,7
BDP,3065,2014,7,335534,11,7
BDP,3067,2014,7,345603,21,7
BDP,3072,2014,7,345603,12,7
BDP,3073,2014,5,345603,11,7
BDP,3074,2014,5,345607,2,7
BDP,3076,2014,7,335601,3,6.599999905
BDP,3077,2014,7,345603,8,7
BDP,3078,2014,5,355602,22,7
BDP,3079,2014,5,355601,14,7
BDP,3080,2014,5,355601,1,7
BDP,3082,2014,7,345631,3,7
BDP,3083,2014,5,355631,9,7
BDP,3084,2014,5,355631,53,7
BDP,3085,2014,5,355633,5,7
BDP,3086,2014,5,355631,81,7
BDP,3087,2014,5,355631,5,7
BDP,3089,2014,5,355631,8,7
BDP,3092,2014,5,365701,68,7
BDP,3097,2014,5,355702,30,7
BDP,3098,2014,5,365701,4,7
BDP,3101,2014,1,345701,2,7
BDP,3102,2014,4,355703,15,7
BDP,3103,2014,4,365701,32,7
BDP,3106,2014,4,365731,5,7
BDP,3110,2014,4,365734,33,7
BDP,3113,2014,4,365801,22,7
BDP,3116,2014,4,365804,2,7
BDP,4004,2014,4,375801,23,7
BDP,4005,2014,4,375801,4,7
BDP,4007,2014,3,375801,1,7
BDP,4011,2014,3,385800,50,7
BDP,4012,2014,3,385800,49,7
BDP,4018,2014,2,385800,23,6.900000095
BDP,4019,2014,3,395800,110,7
BDP,4024,2014,2,385831,17,7
BDP,4025,2014,2,385831,9,7
BDP,4026,2014,3,395830,3,7
BDP,4027,2014,3,395830,27,7
BDP,4029,2014,2,385831,15,7
BDP,4031,2014,3,385831,25,7
BDP,4037,2014,2,385831,3,7
BDP,4040,2014,3,395830,4,7
BDP,4043,2014,2,385901,5,7
BDP,4047,2014,2,395901,1,7
