VESSEL,STATION,YEAR,TRIP,NOSKT,AREA,TOT
BDP,3012,2012,7,4,315431,3
BDP,3013,2012,7,4,325431,8
BDP,3014,2012,1,4,325431,7
BDP,3015,2012,1,4,325432,20
BDP,3016,2012,7,4,335431,30
BDP,3023,2012,1,4,335431,2
BDP,3025,2012,7,4,335431,18
BDP,3026,2012,2,4,345430,2
BDP,3028,2012,1,4,315502,2
BDP,3029,2012,7,4,335502,64
BDP,3031,2012,1,4,315501,1
BDP,3032,2012,1,4,315502,10
BDP,3034,2012,2,4,335504,10
BDP,3036,2012,1,4,315502,2
BDP,3038,2012,6,4,325531,4
BDP,3039,2012,6,4,325532,1
BDP,3043,2012,2,4,345500,34
BDP,3044,2012,2,4,345500,1
BDP,3049,2012,2,4,345500,10
BDP,3050,2012,2,4,345500,2
BDP,3051,2012,2,4,345536,7
BDP,3055,2012,2,4,345536,17
BDP,3058,2012,2,4,345537,20
BDP,3059,2012,6,4,335534,2
BDP,3060,2012,6,4,335533,15
BDP,3062,2012,3,4,345533,4
BDP,3063,2012,3,4,345537,1
BDP,3064,2012,3,4,355530,2
BDP,3065,2012,6,4,335534,7
BDP,3066,2012,6,4,345604,2
BDP,3067,2012,6,4,345603,16
BDP,3072,2012,6,4,345603,10
BDP,3074,2012,3,4,345607,1
BDP,3076,2012,6,4,335601,1
BDP,3077,2012,6,4,345603,4
BDP,3078,2012,3,4,355602,16
BDP,3079,2012,3,4,355601,13
BDP,3080,2012,3,4,355601,8
BDP,3081,2012,6,4,335601,1
BDP,3082,2012,6,4,345631,5
BDP,3083,2012,3,4,355631,15
BDP,3084,2012,3,4,355631,46
BDP,3086,2012,3,4,355631,41
BDP,3089,2012,3,4,355631,9
BDP,3092,2012,4,4,365701,62
BDP,3097,2012,4,4,355702,16
BDP,3098,2012,4,4,365701,5
BDP,3102,2012,4,4,355703,3
BDP,3103,2012,4,4,365701,8
BDP,3106,2012,4,4,365731,8
BDP,3110,2012,4,4,365734,9
BDP,3113,2012,4,4,365801,10
BDP,3114,2012,4,4,345803,1
BDP,3116,2012,4,4,365804,4
PEN,4004,2012,9,4,375801,11
PEN,4005,2012,9,4,375801,1
PEN,4007,2012,7,4,375801,5
PEN,4011,2012,9,4,385800,40
PEN,4012,2012,9,4,385800,14
PEN,4017,2012,9,4,385800,2
PEN,4018,2012,9,4,385800,40
PEN,4019,2012,9,4,395800,66
PEN,4024,2012,8,4,385831,3
PEN,4025,2012,8,4,385831,13
PEN,4026,2012,8,4,395830,5
PEN,4027,2012,9,4,395830,17
PEN,4031,2012,8,4,385831,5
PEN,4032,2012,8,4,395830,1
PEN,4034,2012,7,4,395830,1
PEN,4040,2012,8,4,395830,7
PEN,4042,2012,8,4,405830,1
